contrast_id	cohort_number	disease	accession	ontology_domain	role_code	category	term	description	fdr	role_marker_count	detected_marker_count	dep_marker_count	proximity_score
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	4	1	-1.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	5	1	-1.0
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	6	2	-1.1102230246251565e-16
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	1	-1.0
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R8	Component	GO:0005576	Extracellular region	0.0144	9	7	2	0.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R9	Component	GO:0005615	Extracellular space	0.0144	8	7	2	0.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	6	2	-1.1102230246251565e-16
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	3	0	0.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	4	1	1.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	3	1	1.7000000000000002
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R14	PMID	PMID:36012410	(2022) Importance of Coagulation Factors as Critical Components of Premature Cardiovascular Disease in Familial Hypercholesterolemia.	0.0398	3	3	1	1.7000000000000002
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R15	TISSUES	BTO:0000392	Plasma cell	0.0029	4	4	0	0.0
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R16	TISSUES	BTO:0000345	Digestive gland	0.0058	8	7	2	0.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R17	TISSUES	BTO:0000759	Liver	0.0093	7	6	1	1.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R18	TISSUES	BTO:0000763	Lung	0.0101	6	4	1	-1.35
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	Nervous system	R19	TISSUES	BTO:0001491	Viscus	0.0258	9	7	2	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R1	COMPARTMENTS	GOCC:0065010	Extracellular membrane-bounded organelle	8.89e-05	6	4	0	0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R2	COMPARTMENTS	GOCC:1903561	Extracellular vesicle	8.89e-05	6	4	0	0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R3	COMPARTMENTS	GOCC:0005576	Extracellular region	0.00033	8	5	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R4	COMPARTMENTS	GOCC:0070062	Extracellular exosome	0.00053	5	3	0	1.0499999999999998
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R5	COMPARTMENTS	GOCC:0005615	Extracellular space	0.0014	6	4	0	0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R6	COMPARTMENTS	GOCC:0031982	Vesicle	0.005	7	4	0	0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R7	COMPARTMENTS	GOCC:0099569	Presynaptic cytoskeleton	0.0052	2	1	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R8	Component	GO:0005576	Extracellular region	0.0144	9	5	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R9	Component	GO:0005615	Extracellular space	0.0144	8	5	0	0.35
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R10	Component	GO:0070062	Extracellular exosome	0.0144	7	4	0	0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R11	KEGG	hsa04610	Complement and coagulation cascades	0.0031	3	2	0	-0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R12	NetworkNeighborAL	CL:18728	Complement and coagulation cascades, and Positive regulation of opsonization	0.00096	4	2	0	-0.7
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	Nervous system	R13	PMID	PMID:28434814	(2017) Novel protein biomarkers associated with coronary artery disease in statin-treated patients with familial hypercholesterolemia.	0.0271	3	2	0	0.0
